model,n_features,test_mae,test_rmse,test_r2,test_mape,rolling_rmse_mean,rolling_rmse_std
Advanced: SplineRidge,107,1.190208256161311,1.6559611417816495,0.5539893080466191,3.2449715869775115,1.957609523806229,1.8634497020796437
Advanced: CatBoost,107,1.3753929072372946,1.8412297485533031,0.44860737495718106,3.8665703264542475,1.2608685258134538,1.2041131124325517
Advanced: XGBoost,107,1.4281339692146546,2.0422495009254225,0.3216363254381167,4.048199500397141,1.1888706291111837,1.2798927009338976
Advanced: HistGBR,107,1.6153322019683236,2.2141703469182334,0.20261686255386235,4.539820311790652,1.2565775742877758,1.3296950256030635
Advanced: LightGBM,107,1.7564098506689982,2.381447280195518,0.07758378205252414,4.969245928265732,1.2254775837063472,1.2734987688466115
