dimension,segment,n,mae,rmse,mape
daylight,1.0,125,0.8721138013567178,1.2443414488233535,2.363505715187795
daylight,0.0,123,1.5134749785237025,1.9888289768757093,4.1407702371703135
regime,Stable-B,248,1.190208256161311,1.6559611417816495,3.2449715869775115
workday,1.0,160,1.0517038701361323,1.4952475247378518,2.7152932099833405
workday,0.0,88,1.442034412570727,1.913899474683246,4.208023181512369
